File,Type,Title,Creator,License,Source URL,Attribution
"images-pexels/accessible-bathroom-2.jpg","image","A men's restroom sign with accessible symbol on a tiled wall, featuring minimalist design.","Grant Hughes","Pexels License","https://www.pexels.com/photo/white-tiled-wall-with-men-s-restroom-sign-13554363/","Photo by Grant Hughes / Pexels — https://www.pexels.com/photo/white-tiled-wall-with-men-s-restroom-sign-13554363/"
"images-pexels/accessible-travel-1.jpg","image","A wheelchair on a sandy beach overlooking the sea on a bright summer day.","Lucas Andrade","Pexels License","https://www.pexels.com/photo/wheelchair-on-beach-20340269/","Photo by Lucas Andrade / Pexels — https://www.pexels.com/photo/wheelchair-on-beach-20340269/"
"images-pexels/airport-departure-terminal-1.jpg","image","Crowds in the departure area of Amsterdam's Schiphol Airport, showcasing bustling travel activity.","Martijn Stoof","Pexels License","https://www.pexels.com/photo/busy-departure-hall-at-amsterdam-schiphol-airport-37772239/","Photo by Martijn Stoof / Pexels — https://www.pexels.com/photo/busy-departure-hall-at-amsterdam-schiphol-airport-37772239/"
"images-pexels/airport-departure-terminal-2.jpg","image","Passengers checking the departure board at Hong Kong International Airport terminal.","AirTeo | Air Travel","Pexels License","https://www.pexels.com/photo/people-standing-near-airport-departure-board-12717154/","Photo by AirTeo | Air Travel / Pexels — https://www.pexels.com/photo/people-standing-near-airport-departure-board-12717154/"
"images-pexels/airport-departure-terminal-6.jpg","image","A luggage cart on the airport tarmac near a modern terminal building under clear skies.","Victor Freitas","Pexels License","https://www.pexels.com/photo/track-tractor-on-road-1381416/","Photo by Victor Freitas / Pexels — https://www.pexels.com/photo/track-tractor-on-road-1381416/"
"images-pexels/airport-lounge-1.jpg","image","Modern airport seating area with green chairs and expansive windows offering a runway view.","Valeria Drozdova","Pexels License","https://www.pexels.com/photo/spacious-airport-seating-area-with-large-windows-38706325/","Photo by Valeria Drozdova / Pexels — https://www.pexels.com/photo/spacious-airport-seating-area-with-large-windows-38706325/"
"images-pexels/airport-terminal-1.jpg","image","A white minivan parked at a modern airport terminal drop-off zone, ideal for travel and transport concepts.","Yazid N","Pexels License","https://www.pexels.com/photo/white-minivan-parked-at-modern-airport-terminal-39075475/","Photo by Yazid N / Pexels — https://www.pexels.com/photo/white-minivan-parked-at-modern-airport-terminal-39075475/"
"images-pexels/alfama-street-1.jpg","image","Discover the charm of a Lisbon alley with old buildings and a scenic view towards the sea.","Lajos Kristóf Kántor","Pexels License","https://www.pexels.com/photo/charming-cobblestone-alley-in-lisbon-portugal-37077418/","Photo by Lajos Kristóf Kántor / Pexels — https://www.pexels.com/photo/charming-cobblestone-alley-in-lisbon-portugal-37077418/"
"images-pexels/alfama-street-2.jpg","image","Scenic view of Lisbon's vibrant Alfama district with iconic red rooftops and historic architecture under a clear blue sky.","Sophie Otto","Pexels License","https://www.pexels.com/photo/view-of-a-city-26824151/","Photo by Sophie Otto / Pexels — https://www.pexels.com/photo/view-of-a-city-26824151/"
"images-pexels/alfama-street-3.jpg","image","A picturesque street in Lisbon, Portugal, lined with historic buildings and parked vehicles, leading to an ocean view.","Mateus Castro","Pexels License","https://www.pexels.com/photo/ocean-at-end-of-alley-in-lisbon-20146999/","Photo by Mateus Castro / Pexels — https://www.pexels.com/photo/ocean-at-end-of-alley-in-lisbon-20146999/"
